                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5224,                 1.9365,                 1.1371,                0.62888,                0.07851,                0.09727,                0.04921,                 1.3803,                 1.7468,                 1.1452,                0.00847,                0.00847,                0.00847
                     36,                 1.5026,                 1.9942,                 1.1008,                0.68564,                 0.1147,                0.12341,                0.05257,                 1.3614,                 1.7228,                 1.1457,               0.008425,               0.008425,               0.008425
                     37,                  1.389,                 1.8914,                 1.0372,                0.67582,                0.08678,                0.12162,                 0.0488,                 1.3513,                 1.6908,                 1.1408,                0.00838,                0.00838,                0.00838
                     38,                 1.4911,                  1.981,                  1.102,                 0.6742,                0.10744,                0.12277,                0.05936,                 1.3653,                 1.6963,                 1.1423,               0.008335,               0.008335,               0.008335
                     39,                 1.3936,                 1.8978,                  1.053,                0.69854,                0.09255,                0.12638,                0.06109,                 1.3589,                 1.7156,                 1.1443,                0.00829,                0.00829,                0.00829
                     40,                 1.4227,                 1.8854,                 1.0525,                0.72153,                0.13636,                0.14908,                0.07162,                 1.2949,                 1.5944,                 1.1014,               0.008245,               0.008245,               0.008245
                     41,                 1.6033,                 2.1106,                 1.2169,                0.67607,                0.11007,                0.13076,                0.06558,                 1.3187,                 1.6756,                 1.1235,                 0.0082,                 0.0082,                 0.0082
                     42,                 1.3795,                 1.8043,                 1.0227,                0.69066,                0.15537,                0.15781,                0.07905,                 1.3096,                 1.5789,                 1.1044,               0.008155,               0.008155,               0.008155
                     43,                 1.6086,                 2.0545,                 1.1742,                 0.6587,                0.13259,                0.14332,                0.06529,                 1.3212,                  1.559,                 1.1208,                0.00811,                0.00811,                0.00811
                     44,                 1.4315,                 1.9164,                 1.0989,                0.67563,                0.14876,                0.13577,                0.06625,                  1.306,                 1.6368,                 1.1105,               0.008065,               0.008065,               0.008065
                     45,                 1.4388,                 1.8859,                 1.0971,                0.67013,                0.15702,                0.14803,                0.07156,                 1.3167,                 1.5935,                 1.1199,                0.00802,                0.00802,                0.00802
                     46,                 1.4384,                 1.8895,                 1.0784,                0.69861,                0.17769,                0.16673,                0.08481,                 1.3006,                 1.5629,                 1.1059,               0.007975,               0.007975,               0.007975
                     47,                 1.4058,                 1.8819,                  1.044,                0.66234,                0.14463,                0.13833,                 0.0687,                 1.3082,                 1.6417,                  1.112,                0.00793,                0.00793,                0.00793
                     48,                 1.4234,                 1.8672,                 1.0643,                0.70139,                 0.1282,                0.14728,                 0.0715,                 1.2993,                 1.5785,                    1.1,               0.007885,               0.007885,               0.007885
                     49,                 1.4001,                 1.8344,                 1.0295,                0.73541,                0.15702,                0.17968,                0.08763,                  1.297,                 1.5084,                 1.0923,                0.00784,                0.00784,                0.00784
