                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.9308,                 1.6785,                0.86986,                0.51028,                   0.12,                0.00617,                0.00275,                 2.1313,                  16.01,                0.84439,             0.00068997,             0.00068997,             0.00068997
                     36,                 2.9984,                 1.7733,                0.84045,                0.51014,                   0.11,                0.00457,                0.00258,                 1.8194,                 12.831,                0.82379,             0.00068926,             0.00068926,             0.00068926
                     37,                  3.076,                 1.8066,                0.83498,                0.51103,                   0.08,                0.00373,                0.00176,                 2.0879,                 8.9063,                0.83729,             0.00068855,             0.00068855,             0.00068855
                     38,                 2.9087,                 1.9912,                0.82069,                0.68032,                   0.05,                0.03673,                0.02084,                 2.2051,                 7.9702,                0.84483,             0.00068785,             0.00068785,             0.00068785
                     39,                 2.9764,                 1.7507,                0.84479,                0.77935,                   0.05,                0.04826,                0.02241,                 2.1477,                 6.0137,                0.84337,             0.00068714,             0.00068714,             0.00068714
                     40,                 2.9213,                 1.6904,                 0.8251,                 0.7155,                0.19699,                0.15925,                0.07249,                 2.0139,                 2.4602,                0.83373,             0.00068643,             0.00068643,             0.00068643
                     41,                 3.2163,                 1.7429,                0.85254,                0.68111,                   0.21,                 0.1625,                0.06856,                 2.0343,                 2.3766,                0.83669,             0.00068573,             0.00068573,             0.00068573
                     42,                  2.904,                 1.9557,                0.83328,                0.65137,                   0.12,                0.10309,                0.04277,                 2.0017,                 2.6923,                0.84119,             0.00068502,             0.00068502,             0.00068502
                     43,                 2.9696,                  1.781,                 0.8843,                0.61599,                0.07256,                0.06427,                0.02251,                 2.1955,                 3.1009,                0.85339,             0.00068431,             0.00068431,             0.00068431
                     44,                 2.7726,                 1.8701,                0.86764,                 0.5672,                   0.06,                0.03227,                0.01111,                 2.5438,                 2.9473,                0.87744,             0.00068361,             0.00068361,             0.00068361
                     45,                 2.8529,                 1.7734,                0.83439,                0.57544,                   0.07,                0.03936,                0.01033,                  2.801,                 2.8364,                 0.8983,              0.0006829,              0.0006829,              0.0006829
                     46,                 2.7086,                 1.7594,                0.85277,                0.54546,                   0.04,                0.02119,                0.00636,                 2.8786,                 3.1386,                0.90746,             0.00068219,             0.00068219,             0.00068219
                     47,                 2.9026,                 1.4952,                0.83947,                0.55406,                   0.09,                0.02747,                0.01235,                 2.5766,                 3.0242,                0.87995,             0.00068148,             0.00068148,             0.00068148
                     48,                 2.8538,                 1.7321,                0.85392,                0.57038,                   0.09,                0.04155,                0.02002,                 2.3481,                 2.8245,                 0.8693,             0.00068078,             0.00068078,             0.00068078
                     49,                 2.6692,                 1.5953,                0.81396,                0.57982,                   0.06,                0.04404,                0.01948,                 2.4811,                 3.0172,                0.87698,             0.00068007,             0.00068007,             0.00068007
                     50,                 2.9987,                 1.5555,                0.84442,                 0.6432,                   0.11,                0.07159,                0.03028,                 2.3338,                 2.7827,                 0.8717,             0.00067936,             0.00067936,             0.00067936
                     51,                 2.8702,                 1.6929,                0.86872,                 0.6289,                   0.08,                0.06662,                0.02724,                 2.2588,                 2.8065,                0.86824,             0.00067866,             0.00067866,             0.00067866
                     52,                 2.9822,                 1.9455,                0.86318,                 0.6874,                0.14394,                0.10925,                0.04915,                 2.1039,                 2.2488,                 0.8438,             0.00067795,             0.00067795,             0.00067795
                     53,                 2.6148,                 1.5424,                0.82509,                0.72658,                   0.15,                0.14526,                0.06889,                 2.1377,                  2.056,                0.84958,             0.00067724,             0.00067724,             0.00067724
                     54,                 2.9012,                 1.6778,                0.83413,                0.75995,                0.18417,                0.17322,                0.07324,                 2.0924,                 2.0793,                0.84481,             0.00067654,             0.00067654,             0.00067654
                     55,                 2.6713,                 1.6391,                0.84304,                0.70434,                   0.18,                0.13749,                0.05713,                 2.1109,                 2.1173,                0.84443,             0.00067583,             0.00067583,             0.00067583
                     56,                 2.9251,                 1.9306,                0.85763,                  0.769,                   0.24,                 0.2307,                0.12119,                 1.9404,                 1.7161,                0.83547,             0.00067512,             0.00067512,             0.00067512
                     57,                  2.855,                 1.7141,                0.83409,                0.75148,                    0.2,                0.20671,                0.10825,                 1.8869,                 1.8609,                0.82693,             0.00067442,             0.00067442,             0.00067442
                     58,                 2.8848,                  1.654,                0.89389,                0.73288,                   0.14,                0.14834,                0.06974,                 2.0281,                 2.3927,                0.83258,             0.00067371,             0.00067371,             0.00067371
                     59,                 2.9166,                 1.5927,                0.83409,                0.68297,                0.14435,                0.10799,                0.05305,                 2.2929,                 2.4903,                 0.8507,               0.000673,               0.000673,               0.000673
                     60,                 2.6393,                 1.3997,                0.87336,                0.76935,                   0.22,                 0.2071,                0.09052,                 2.0629,                 1.8255,                0.84299,              0.0006723,              0.0006723,              0.0006723
                     61,                 2.8868,                 1.6321,                0.82178,                0.82953,                    0.2,                 0.2003,                0.07871,                 2.1202,                 1.9224,                0.84805,             0.00067159,             0.00067159,             0.00067159
                     62,                 2.4233,                 1.4857,                0.84774,                0.69994,                   0.17,                0.11609,                 0.0483,                 2.3986,                 2.2263,                0.86962,             0.00067088,             0.00067088,             0.00067088
                     63,                 2.6912,                 1.5932,                0.85447,                0.66221,                   0.15,                0.09977,                0.03201,                  2.676,                   2.37,                0.88961,             0.00067017,             0.00067017,             0.00067017
                     64,                 2.5811,                 1.4865,                0.85041,                 0.5748,                   0.07,                0.04061,                0.01205,                 3.0029,                  2.914,                0.91701,             0.00066947,             0.00066947,             0.00066947
                     65,                 2.6158,                 1.4177,                0.84131,                0.58375,                   0.06,                0.03949,                0.01349,                 2.6938,                 3.0055,                0.89258,             0.00066876,             0.00066876,             0.00066876
                     66,                 2.8273,                 1.6872,                0.81355,                0.61227,                 0.1477,                0.07977,                0.03191,                 2.2539,                 2.5972,                0.86282,             0.00066805,             0.00066805,             0.00066805
                     67,                 2.9243,                 1.7966,                0.85662,                0.66747,                   0.17,                0.14137,                0.05761,                 2.2503,                  2.291,                0.86164,             0.00066735,             0.00066735,             0.00066735
                     68,                 2.6688,                 1.5392,                0.84589,                0.06319,                   0.23,                0.07291,                0.02235,                 2.7067,                 3.2032,                0.88626,             0.00066664,             0.00066664,             0.00066664
                     69,                 2.6618,                 1.4156,                0.85195,                0.07914,                   0.22,                0.08603,                  0.024,                 2.7275,                 3.5114,                0.88638,             0.00066593,             0.00066593,             0.00066593
                     70,                 2.5705,                 1.4932,                0.84151,                0.06522,                   0.21,                0.07257,                0.02499,                 2.5637,                 3.6518,                0.87845,             0.00066523,             0.00066523,             0.00066523
                     71,                 2.7667,                 1.5651,                0.83533,                0.68704,                   0.11,                0.12045,                0.05126,                 2.3189,                 3.1026,                0.86745,             0.00066452,             0.00066452,             0.00066452
                     72,                 2.8189,                 1.6943,                0.87391,                0.73334,                   0.14,                0.15441,                0.06695,                 2.3411,                 2.5539,                0.86466,             0.00066381,             0.00066381,             0.00066381
                     73,                 2.7777,                 1.6378,                0.85788,                0.68508,                   0.14,                0.14562,                0.05219,                 2.5407,                 2.5076,                0.87661,             0.00066311,             0.00066311,             0.00066311
                     74,                 2.8706,                 1.6364,                 0.8572,                0.63742,                   0.15,                0.11831,                0.02433,                 2.9119,                 2.4565,                0.90438,              0.0006624,              0.0006624,              0.0006624
                     75,                 2.8216,                 1.4125,                0.86159,                0.68018,                   0.17,                0.12961,                0.02812,                  2.976,                 2.1256,                0.90882,             0.00066169,             0.00066169,             0.00066169
                     76,                  2.646,                 1.5778,                0.84314,                0.72074,                   0.24,                0.18403,                0.06072,                 2.5914,                 1.9124,                0.88169,             0.00066099,             0.00066099,             0.00066099
                     77,                 2.6286,                 1.6654,                0.80983,                0.72539,                0.22981,                0.18993,                0.07249,                 2.3814,                 1.8596,                0.86936,             0.00066028,             0.00066028,             0.00066028
                     78,                 2.6289,                 1.3915,                0.83592,                0.74936,                   0.27,                0.24648,                0.10034,                 2.3318,                 1.6529,                0.86669,             0.00065957,             0.00065957,             0.00065957
                     79,                 2.6401,                 1.3452,                0.84873,                0.82046,                0.23208,                0.25057,                0.09788,                 2.3633,                 1.6289,                0.86823,             0.00065886,             0.00065886,             0.00065886
                     80,                 2.6392,                  1.423,                0.82753,                0.82989,                   0.24,                0.23839,                0.10798,                 2.3004,                 1.5611,                0.86832,             0.00065816,             0.00065816,             0.00065816
                     81,                 2.6932,                 1.5579,                  0.818,                0.84803,                   0.22,                0.24198,                0.10869,                 2.2984,                 1.7043,                0.86426,             0.00065745,             0.00065745,             0.00065745
                     82,                 2.9606,                 1.5241,                0.81965,                0.86188,                0.23588,                0.24635,                0.11709,                 2.1141,                 1.8316,                0.84993,             0.00065674,             0.00065674,             0.00065674
                     83,                 2.7151,                  1.526,                0.85747,                0.88284,                   0.24,                0.26067,                 0.1301,                 1.9422,                 1.7978,                0.83542,             0.00065604,             0.00065604,             0.00065604
                     84,                  2.855,                 1.6135,                0.81638,                0.74706,                    0.1,                 0.1317,                  0.057,                 1.9865,                 2.8815,                0.82993,             0.00065533,             0.00065533,             0.00065533
                     85,                 2.4648,                 1.3626,                0.81363,                0.72205,                   0.12,                0.12071,                0.04749,                 2.0491,                 2.9932,                0.83751,             0.00065462,             0.00065462,             0.00065462
                     86,                 2.8242,                   1.53,                0.82823,                0.68129,                   0.11,                0.09617,                0.04037,                 2.1637,                 3.2168,                 0.8529,             0.00065392,             0.00065392,             0.00065392
                     87,                 2.7678,                 1.5658,                0.85043,                0.75196,                0.06102,                0.08855,                0.02691,                 2.4243,                 3.3408,                0.87335,             0.00065321,             0.00065321,             0.00065321
                     88,                 2.6463,                 1.5827,                0.83338,                0.68627,                    0.1,                0.10916,                0.03773,                 2.5214,                 2.6309,                0.88084,              0.0006525,              0.0006525,              0.0006525
                     89,                 2.5433,                 1.3982,                 0.8288,                0.79042,                   0.18,                0.19554,                0.07578,                 2.3234,                 1.9009,                0.86775,              0.0006518,              0.0006518,              0.0006518
                     90,                 2.7853,                 1.5153,                0.83965,                0.81248,                   0.21,                0.23455,                0.08974,                 2.2622,                 1.8164,                0.86177,             0.00065109,             0.00065109,             0.00065109
                     91,                 2.5699,                 1.3453,                0.87549,                0.79648,                   0.21,                0.23054,                0.08877,                 2.2794,                 1.9386,                0.86256,             0.00065038,             0.00065038,             0.00065038
                     92,                 2.8851,                 1.4712,                0.82804,                0.68602,                   0.14,                0.11811,                 0.0378,                 2.6197,                 2.6665,                0.88439,             0.00064968,             0.00064968,             0.00064968
                     93,                 2.6046,                 1.3775,                0.81962,                0.76765,                   0.16,                0.17149,                0.05465,                 2.4218,                 2.5653,                0.87209,             0.00064897,             0.00064897,             0.00064897
                     94,                 2.7161,                 1.4894,                0.86055,                0.93195,                   0.16,                 0.2254,                0.11635,                 2.0024,                 2.0313,                0.84883,             0.00064826,             0.00064826,             0.00064826
                     95,                 2.7087,                 1.5398,                0.85629,                 0.9415,                   0.23,                0.29406,                0.14704,                 1.9718,                 1.5966,                0.84603,             0.00064756,             0.00064756,             0.00064756
                     96,                 2.7758,                 1.5901,                0.81944,                 0.9423,                0.22996,                0.29408,                0.14995,                 2.0781,                 1.7115,                0.85322,             0.00064685,             0.00064685,             0.00064685
                     97,                 2.6627,                 1.3007,                0.80895,                0.85256,                   0.23,                0.28403,                0.14109,                 2.1166,                 1.7855,                0.85929,             0.00064614,             0.00064614,             0.00064614
                     98,                 2.3078,                  1.278,                  0.823,                 0.8686,                   0.22,                0.27277,                0.12686,                 2.1235,                 1.8272,                 0.8579,             0.00064543,             0.00064543,             0.00064543
                     99,                 2.3763,                 1.3737,                0.84905,                0.81012,                   0.21,                0.24265,                 0.1051,                 2.1514,                 1.9484,                0.86644,             0.00064473,             0.00064473,             0.00064473
                    100,                 2.7417,                 1.5729,                0.85764,                0.74193,                   0.21,                0.21323,                0.08735,                  2.286,                 2.0726,                0.86784,             0.00064402,             0.00064402,             0.00064402
